,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
,,,,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36,1:L2:37,1:L2:37,1:L1:38,1:L1:38,1:AX:39,1:AX:39,1:H1:40,1:H1:40,1:CDD:36,1:CDD:36
irradiation,position,label,date,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time,Y,Time
UM52,NA,EXB#18,15-Mar-2013 16:14,-0.0341667118,44.971784,0.0154210002,44.971784,0.0383842014,44.971784,2.7586745343,44.971784,0.0113423842,44.971784,-0.0450100911,78.704784,0.0067345609,78.704784,0.0003916981,78.704784,2.9983601995,78.704784,0.0109747194,78.704784,-0.0663733756,112.694784,-0.0101022582,112.694784,0.0537312651,112.694784,3.259073553,112.694784,0.0119774417,112.694784,-0.036834741,146.679784,0.0132193104,146.679784,0.0466482564,146.679784,3.5620057408,146.679784,0.0124692533,146.679784,-0.0819440179,180.685784,-0.0215371313,180.685784,0.0602548454,180.685784,3.8286375552,180.685784,0.0123498815,180.685784,-0.0612888075,214.689784,0.029389452,214.689784,0.050875384,214.689784,4.0983591424,214.689784,0.0133430544,214.689784,-0.0475687466,248.687784,0.007091786,248.687784,0.1161430919,248.687784,4.3231441993,248.687784,0.0137775676,248.687784
UM52,11,KG1-1,15-Mar-2013 16:32,0.6351723946,88.612784,72.3887400135,88.612784,6077.1780249726,88.612784,17.5455005162,88.612784,0.0405837569,88.612784,0.6515345506,122.786784,71.5441876375,122.786784,6001.4533542559,122.786784,20.942656588,122.786784,0.0500905799,122.786784,0.6557640401,156.755784,70.662536693,156.755784,5926.806933659,156.755784,24.3455743756,156.755784,0.0583702678,156.755784,0.6361276867,190.797784,69.879411377,190.797784,5853.2709214961,190.797784,27.7357435929,190.797784,0.0660865283,190.797784,0.6207009264,224.774784,69.0020106388,224.774784,5780.7557135859,224.774784,31.0331505963,224.774784,0.0753689752,224.774784,0.6020513151,258.771784,68.2139772247,258.771784,5709.1796425852,258.771784,34.3504511107,258.771784,0.0828560635,258.771784,0.6275118603,292.766784,67.3620098006,292.766784,5638.5123289772,292.766784,37.5620539061,292.766784,0.0916562706,292.766784
UM52,NA,EXB#19,15-Mar-2013 16:53,-0.0471823973,44.960784,-0.0179502901,44.960784,0.155253353,44.960784,2.9684740403,44.960784,0.01149518,44.960784,-0.0524272577,78.986784,-0.0120523798,78.986784,0.1628048045,78.986784,3.2212670124,78.986784,0.0121206878,78.986784,-0.0566989371,112.988784,0.0322546132,112.988784,0.2164617322,112.988784,3.5405992669,112.988784,0.0129133161,112.988784,-0.0625353492,146.977784,-0.0069383143,146.977784,0.3028267694,146.977784,3.8845844221,146.977784,0.0130708868,146.977784,-0.083999674,180.991784,0.0319301861,180.991784,0.3414426955,180.991784,4.1614368842,180.991784,0.0139160388,180.991784,-0.0567353848,214.964784,0.0174623064,214.964784,0.411027012,214.964784,4.5076905022,214.964784,0.0147325417,214.964784,-0.0567062266,248.977784,0.0030602531,248.977784,0.4744210989,248.977784,4.7818694591,248.977784,0.0147468663,248.977784
UM52,11,KG1-2,15-Mar-2013 17:08,1.5601596237,94.736784,157.1350913733,94.736784,13218.0309467241,94.736784,115.3866071796,94.736784,0.3374424113,94.736784,1.5523313511,128.700784,155.264213349,128.700784,13053.4183760549,128.700784,121.5762122897,128.700784,0.3516533055,128.700784,1.512591101,162.711784,153.4733135958,162.711784,12890.5687660996,162.711784,127.8542253585,162.711784,0.366365632,162.711784,1.5256806742,196.689784,151.5934698806,196.689784,12729.3423792291,196.689784,133.9657373266,196.689784,0.3786617491,196.689784,1.4656670578,230.713784,149.8331148888,230.713784,12571.3429073361,230.713784,140.0530930778,230.713784,0.3945918286,230.713784,1.4384451182,264.726784,148.0073319263,264.726784,12414.4973503459,264.726784,146.0556443209,264.726784,0.4081295684,264.726784,1.4277503482,298.698784,146.2829960197,298.698784,12260.6139059737,298.698784,151.9822520736,298.698784,0.4232813723,298.698784
UM52,NA,EXB#20,18-Mar-2013 10:43,-0.0472115557,44.949784,-0.0326475071,44.949784,0.0329614103,44.949784,1.4219843811,44.949784,0.006610492,44.949784,-0.0389997757,78.918784,-0.0100001957,78.918784,0.0097786759,78.918784,1.5413573194,78.918784,0.0067537379,78.918784,-0.1008456865,112.923784,0.0028050933,112.923784,0.0244122562,112.923784,1.6341180177,112.923784,0.0068540101,112.923784,-0.0805517093,146.905784,0.0194853908,146.905784,0.0319887483,146.905784,1.7204262262,146.905784,0.0072312243,146.905784,-0.0153882461,180.916784,0.013292214,180.916784,0.0241380117,180.916784,1.8448424337,180.916784,0.0076609622,180.916784,-0.0586462795,214.930784,0.0220005827,214.930784,0.0466811665,214.930784,1.8697354079,214.930784,0.0076896114,214.930784,-0.1012174472,248.916784,-0.0066612865,248.916784,0.0634642609,248.916784,2.0068764204,248.916784,0.0076991611,248.916784
UM52,11,KG1-3,18-Mar-2013 11:07,0.3805190393,94.777784,68.8534278562,94.777784,5796.8701639665,94.777784,16.5629787094,94.777784,0.0395380552,94.777784,0.3789477708,128.766784,68.1041087877,128.766784,5723.7106917446,128.766784,19.638111631,128.766784,0.0468722964,128.766784,0.366574575,162.764784,67.2636658271,162.764784,5651.5607573773,162.764784,22.6752529321,162.764784,0.0545455661,162.764784,0.3631878318,196.794784,66.4207980919,196.794784,5580.2328034889,196.794784,25.7157310763,196.794784,0.0625721905,196.794784,0.3098462755,230.775784,65.6301240567,230.775784,5509.8014513595,230.775784,28.690561173,230.775784,0.0704842288,230.775784,0.3689186894,264.820784,64.8236671252,264.820784,5440.7785743213,264.820784,31.6175114967,264.820784,0.0794706377,264.820784,0.3503848858,298.802784,64.0443922882,298.802784,5372.3104997305,298.802784,34.5210704671,298.802784,0.0860218444,298.802784
UM52,11,KG1-4,18-Mar-2013 11:18,0.7907952704,94.688784,108.7164435362,94.688784,9148.5820457339,94.688784,23.2778594121,94.688784,0.0557631675,94.688784,0.7344242034,128.818784,107.4494773427,128.818784,9033.5553900447,128.818784,28.1823104763,128.818784,0.0673853059,128.818784,0.7472738624,162.827784,106.1359857971,162.827784,8919.7422300382,162.827784,33.1021981806,162.827784,0.0805163473,162.827784,0.7097973771,196.805784,104.806223886,196.805784,8807.1553754992,196.805784,37.9710227867,196.805784,0.0931269523,196.805784,0.7038577157,230.794784,103.6410088221,230.794784,8696.5856544143,230.794784,42.7452922755,230.794784,0.1056707378,230.794784,0.7103224318,264.800784,102.3690578687,264.800784,8587.4921856548,264.800784,47.4495648406,264.800784,0.1161851936,264.800784,0.716130868,298.841784,101.1262968638,298.841784,8479.3906460025,298.841784,52.1101574283,298.841784,0.1286478587,298.841784
UM52,NA,EXB#21,18-Mar-2013 11:28,-0.0772604589,44.965784,-0.0075506913,44.965784,0.381541661,44.965784,1.722752151,44.965784,0.0074651927,44.965784,-0.0623567512,79.070784,-0.0144289714,79.070784,0.5839312448,79.070784,2.0708818846,79.070784,0.0082005219,79.070784,-0.0887451617,113.040784,0.0119070473,113.040784,0.8043779614,113.040784,2.4135484488,113.040784,0.0086636839,113.040784,-0.0512572809,147.046784,0.0014199415,147.046784,0.9750009675,147.046784,2.676346363,147.046784,0.0093703641,147.046784,-0.0645728219,181.047784,-0.0132333862,181.047784,1.1665217835,181.047784,3.0232168366,181.047784,0.0101534422,181.047784,-0.0699052214,215.053784,0.0514196271,215.053784,1.3628467809,215.053784,3.2468521023,215.053784,0.0107264263,215.053784,-0.0580776795,249.046784,0.023035823,249.046784,1.4792752437,249.046784,3.5361092052,249.046784,0.0113328345,249.046784
UM52,11,KG1-5,18-Mar-2013 11:39,0.6096314369,94.696784,82.0936518823,94.696784,6902.1039612666,94.696784,19.9524326821,94.696784,0.0467338243,94.696784,0.6036446307,128.805784,81.0717966169,128.805784,6816.0765507881,128.805784,23.7378986859,128.805784,0.0559637136,128.805784,0.6003704976,162.803784,80.0878505279,162.803784,6731.0163637701,162.803784,27.4767554929,162.803784,0.0668266405,162.803784,0.6034112845,196.804784,79.1287278816,196.804784,6647.4919213817,196.804784,31.2139892782,196.804784,0.0750442803,196.804784,0.5832706783,230.809784,78.2298490127,230.809784,6564.8506732813,230.809784,34.8798529424,230.809784,0.0847851364,230.809784,0.5730617445,264.823784,77.3008046373,264.823784,6483.1757589737,264.823784,38.4961003069,264.823784,0.0941201402,264.823784,0.5859906932,298.809784,76.3862184762,298.809784,6402.852360739,298.809784,42.0863314428,298.809784,0.1018364523,298.809784
